,tweet_id,airline_sentiment,airline,name,text,tweet_coord,tweet_created,tweet_location,negativereason
16,570277724385734000,positive,Virgin America,ItzBrianHunty,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,42059.404849537,west covina,Cant Decide
17,570276917301137000,negative,Virgin America,heatherovieda,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,42059.4026157407,this place called NYC,flight_attendant_complaints
18,570270684619923000,positive,Virgin America,thebrandiray,I ❤️ flying @VirginAmerica. ☺️👍,,42059.3854166667,Somewhere celebrating life. ,Cant Decide
19,570267956648792000,positive,Virgin America,JNLpierce,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,42059.377893518504,Boston | Waltham,Cant Decide
20,570265883513384000,negative,Virgin America,MISSGJ,=@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,42059.3721759259,,booking_problems
21,570264145116819000,positive,Virgin America,DT_Les,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",42059.3673726852,,Cant Decide
22,570259420287868000,positive,Virgin America,ElvinaBeck,=@VirginAmerica I love the hipster innovation. you are a feel good brand.,,42059.3543402778,Los Angeles,Cant Decide
23,570258822297579000,neutral,Virgin America,rjlynch21086,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,42059.3526851852,"Boston, MA ",customer_service_issue
24,570256553502068000,negative,Virgin America,ayeevickiee,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,42059.346423611096,714,lost_luggage
25,570249102404923000,negative,Virgin America,Leora13,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,42059.3258680556,,bad_flight
26,570239632807370000,negative,Virgin America,meredithjlynn,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,42059.2997337963,,bad_flight
27,570217831557677000,neutral,Virgin America,AdamSinger,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,42059.2395717593,"San Francisco, CA",Cant Decide
28,570207886493782000,negative,Virgin America,blackjackpro911,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",42059.2121296296,"San Mateo, CA & Las Vegas, NV",late_flight
29,570124596180955000,neutral,Virgin America,TenantsUpstairs,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",42058.982291666696,Brooklyn,bad_flight
30,570114021854212000,negative,Virgin America,jordanpichler,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,42058.9531134259,,late_flight
31,570094701371469000,neutral,Virgin America,JCervantezzz,=@VirginAmerica are the hours of operation for the Club at SFO that are posted online current?,,42058.899803240696,"California, San Francisco",flight_attendant_complaints
32,570088404156698000,negative,Virgin America,Cuschoolie1,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",42058.8824189815,Washington DC,late_flight
33,570084582780899000,negative,Virgin America,amanduhmccarty,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,42058.871875,,cancel_flight
34,570076792993611000,positive,Virgin America,NorthTxHomeTeam,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",42058.8503819444,Texas,Cant Decide
35,570051991277342000,neutral,Virgin America,miaerolinea,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,42058.781944444396,Worldwide,late_flight
36,570051381534396000,positive,Virgin America,Nicsplace,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,42058.7802662037,Central Texas,Cant Decide
37,570045393565691000,positive,Virgin America,Nicsplace,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,42058.7637384259,Central Texas,Cant Decide
38,570038941497192000,neutral,Virgin America,elisha_malulani,=@VirginAmerica when can I book my flight to Hawaii??,,42058.7459375,i'm creating a monster ,late_flight
39,570035876845084000,negative,Virgin America,DannyDouglass,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,42058.7374768518,"San Francisco, CA",booking_problems
40,570033593394667000,positive,Virgin America,jamesferrandini,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,42058.7311805556,,Cant Decide
41,570025482344898000,negative,Virgin America,will_lenzenjr,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,42058.7087962963,Iowa City,late_flight
42,570016304284901000,neutral,Virgin America,GottAmanda,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",42058.6834606481,Los Angeles,late_flight
43,570015408788414000,neutral,Virgin America,KGervaise,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,42058.6809953704,Georgia,booking_problems
44,570013523650048000,neutral,Virgin America,papamurat,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,42058.6757986111,,late_flight
45,570012257549070000,positive,Virgin America,arieldaie,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,42058.672303240695,Los Angeles,Cant Decide
46,570011341483843000,neutral,Virgin America,vacations7,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,42058.6697685185,Turks and caicos,longlines
47,570010571707256000,positive,Virgin America,ChelseaPoe666,=@VirginAmerica wow this just blew my mind,,42058.667650463,Oakland via Midwest ,Cant Decide
48,570010539499393000,neutral,Virgin America,BobGlavinVO,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,,42058.6675578704,"New York, NY",late_flight
49,570009713447825000,neutral,Virgin America,lisaaiko,=@VirginAmerica @ladygaga @carrieunderwood all were entertaining,,42058.6652777778,,Cant Decide
50,570009035455344000,neutral,Virgin America,grantbrowne,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,42058.6634027778,Worldwide,late_flight
51,570006886012973000,positive,Virgin America,joyabsalon,=@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive!NO to @carrieunderwood,,42058.6574768519,Northern Virginia,Cant Decide
52,570004391731847000,neutral,Virgin America,2v,=@VirginAmerica wish you flew out of Atlanta... Soon?,,42058.6505902778,Los Angeles / Atlanta,late_flight
53,570001194900426000,neutral,Virgin America,KSmithFoundHere,=@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. hands down.,,42058.6417708333,,flight_attendant_complaints
54,570000071644872000,neutral,Virgin America,papamurat,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,,42058.6386689815,,late_flight
55,569996412286582000,negative,Virgin America,murphicus,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,42058.6285763889,"new york, new york",cancel_flight
56,569996245462159000,positive,Virgin America,VinnieFerra,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,,42058.6281134259,"brooklyn, Ny",Cant Decide
57,569990222609412000,positive,Virgin America,KevinDemsi,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,,42058.6114930556,"Bali, Republic of Indonesia",Cant Decide
58,569990163209850000,neutral,Virgin America,giffgaffman,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,,42058.6113310185,"UK, USA. ",flight_attendant_complaints
59,569989504431316000,neutral,Virgin America,HanlonBrothers,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,,42058.6095138889,"Gold Coast, Australia",customer_service_issue
60,569989321698074000,neutral,Virgin America,emilybg78,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,42058.6090046296,"Stockton, CA",late_flight
61,569989034501500000,negative,Virgin America,rachie1126,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,42058.6082175926,"New York, NY",late_flight
62,569987622484848000,neutral,Virgin America,adawson66,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",42058.6043171296,,Cant Decide
63,569986782567071000,neutral,Virgin America,SocialPLC,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,42058.6020023148,"Twin Cities, Minn.",bad_flight
64,569986348041547000,positive,Virgin America,jeffreymace01,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,,42058.6007986111,,Cant Decide
65,569982307634794000,neutral,Virgin America,1stcrown,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,42058.589652777795,USA,late_flight
66,569976620158578000,negative,Virgin America,onerockgypsy,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,42058.5739583333,next city,late_flight
67,569973821396152000,negative,Virgin America,noelduan,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,42058.5662384259,SF ↔ NY,late_flight
68,569972508499283000,positive,Virgin America,Travelzoo,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,42058.562615740695,"New York, NY",Cant Decide
69,569967019958730000,negative,Virgin America,gianagon,=@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",42058.5474652778,New York + Panama,lost_luggage
70,569961866224652000,neutral,Virgin America,bxchen,=@VirginAmerica Need to change reservation. have Virgin credit card. do I Need to modify on phone to waive change fee? Or can I do online?,,42058.5332407407,"San Francisco, CA",booking_problems
71,569949891163615000,neutral,Virgin America,seimatrun,=@VirginAmerica I emailed your customer service team. Let me know if you Need the tracking number.,,42058.500196759305,Los Angeles,customer_service_issue
72,569948966873370000,neutral,Virgin America,jamied7,"=@VirginAmerica Hi I just booked a flight but Need to add baggage, how can I do this?",,42058.497650462996,"London, England",late_flight
73,569946362126602000,negative,Virgin America,seimatrun,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,42058.490462963,Los Angeles,late_flight
74,569942903683813000,positive,Virgin America,mrmichaellay,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",42058.4809143519,Floridian from Cincinnati ,Cant Decide
75,569941957490774000,positive,Virgin America,TaylorLumsden,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,,42058.4783101852,"Dallas, Texas",Cant Decide
76,569940834994401000,neutral,Virgin America,campusmoviefest,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",,42058.4752083333,USA,flight_attendant_complaints
77,569940323746516000,neutral,Virgin America,TaylorLumsden,=@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,42058.4737962963,"Dallas, Texas",lost_luggage
78,569935232033366000,negative,Virgin America,meme_meng,=@VirginAmerica What is going on with customer service? is there anyway to speak to a human asap? Thank you.,,42058.4597453704,,customer_service_issue
79,569934395865493000,neutral,Virgin America,kyle_romanoff,@VirginAmerica what happened to Doom?!,,42058.4574421296,,bad_flight
80,569933816963342000,negative,Virgin America,GunsNDip,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,,42058.4558449074,,customer_service_issue
81,569933777931145000,positive,Virgin America,artisticwritr87,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,42058.4557407407,"Seattle, WA",Cant Decide
82,569933405506310000,negative,Virgin America,arieldaie,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,42058.454710648104,Los Angeles,late_flight
83,569933360564342000,negative,Virgin America,GunsNDip,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,42058.4545833333,,late_flight
84,569929243146088000,negative,Virgin America,GunsNDip,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,42058.4432175926,,customer_service_issue
85,569926998824394000,negative,Virgin America,jsatk,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",42058.437025463,"Lower Pacific Heights, SF, CA",late_flight
86,569923394990419000,neutral,Virgin America,serenaklal,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,,42058.4270833333,Chicago,late_flight
87,569922008588222000,neutral,Virgin America,openambit1,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,,42058.4232638889,,customer_service_issue
88,569920824905306000,neutral,Virgin America,cabowine,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,42058.4199884259,"Los Cabos,Mexico",bad_flight
89,569919041244147000,negative,Virgin America,MaryAnnTaylorT,=@VirginAmerica why is the site down?  when will it be back up?,,42058.415069444396,"New York, NY",customer_service_issue
90,569915941192015000,neutral,Virgin America,RamotControl,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",,42058.4065162037,,late_flight
91,569913339427434000,neutral,Virgin America,losermelon,"=@VirginAmerica Hi, I did not get points on my elevate account for my most recent flight, how do I add the flight and points to my account?",,42058.3993402778,,late_flight
92,569911816937033000,negative,Virgin America,AlisonK33774854,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,42058.3951388889,,late_flight
93,569911674158731000,negative,Virgin America,GunsNDip,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,42058.3947453704,,late_flight
94,569911218942517000,neutral,Virgin America,yazdanagh,@VirginAmerica why is flight 345 redirected?,,42058.3934837963,,late_flight
95,569910981868060000,negative,Virgin America,MerchEngines,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",,42058.3928356481,"Los Angeles, CA",customer_service_issue
96,569909224521641000,negative,Virgin America,ColorCartel,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,42058.3879861111,"Austin, TX",lost_luggage
97,569907336485019000,negative,Virgin America,MustBeSpoken,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,,42058.3827777778,,late_flight
98,569896805611089000,negative,Virgin America,mattbunk,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,,42058.3537152778,"Sterling Heights, MI",late_flight
99,569894449620369000,negative,Virgin America,louisjenny,=@VirginAmerica is anyone doing anything there today?  website is useless and no one is answering the phone.,,42058.3472106481,Washington DC,bad_flight
100,569894407001939000,neutral,Virgin America,STravelsW,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,,42058.3470949074,"Manhattan Beach, CA",bad_flight
101,569892199690678000,negative,Virgin America,GunsNDip,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,,42058.3410069444,,late_flight
102,569891469210755000,neutral,Virgin America,joeyrenagade,@VirginAmerica check out new music http://t.co/maRcnOCWzn,,42058.3389814815,Greater Los Angeles,longlines
103,569891436100874000,negative,Virgin America,mrmichaellay,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",42058.338900463,Floridian from Cincinnati ,late_flight
104,569887310713479000,negative,Virgin America,GunsNDip,=@VirginAmerica your no Late flight bag check just lost you my business. I missed flight and AM apt. three other people on flight had same exp.,,42058.3275115741,,late_flight
105,569887049446076000,positive,Virgin America,TheDuchessSF,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",,42058.3267939815,Online,Cant Decide
106,569884551712886000,negative,Virgin America,BeLeather,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",42058.3198958333,,customer_service_issue
107,569884407852437000,negative,Virgin America,BeLeather,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,"[0.0, 0.0]",42058.3195023148,,booking_problems
108,569881548515708000,neutral,Virgin America,drcaseydrake,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",42058.3116087963,"Dallas, TX",late_flight
109,569873669700358000,positive,Virgin America,flyfromWAS,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,42058.2898726852,"Washington, DC",Cant Decide
110,569873668131717000,neutral,Virgin America,flyfromSEA,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",,42058.2898611111,Seattle,booking_problems
111,569873665640292000,positive,Virgin America,flyfromNYC,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",,42058.2898611111,"New York City, NY",Cant Decide
112,569873664612704000,neutral,Virgin America,flyfromLAX,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",,42058.2898611111,"Los Angeles, CA",booking_problems
113,569872058613673000,positive,Virgin America,Silvanabfer,@VirginAmerica Have a great week 🌞✈,,42058.2854282407,,Cant Decide
114,569861209781989000,positive,Virgin America,AdamJdubs,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,,42058.2554861111,Earth,Cant Decide
115,569847920192655000,negative,Virgin America,nicholas_v,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","[26.074379, -80.1416831]",42058.2188194444,,late_flight
116,569814339785338000,positive,Virgin America,tstashajones,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",,42058.1261458333,"Halifax, Nova Scotia, Canada",Cant Decide
117,569777607371128000,positive,Virgin America,SkateMamas,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,42058.0247916667,"Los Angeles, CA",Cant Decide
118,569774078233419000,positive,Virgin America,dngoo,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,,42058.0150462963,"Near a park, water, or lights",Cant Decide
119,569770363623575000,positive,Virgin America,SamBrittenham,"=@VirginAmerica love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,42058.0048032407,USA,Cant Decide
120,569748316776325000,negative,Virgin America,usagibrian,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,,42057.9439583333,San Francisco CA,customer_service_issue
121,569741221783957000,negative,Virgin America,usagibrian,"=@VirginAmerica and now the flight flight Booking Problems site is totally down. Folks, What is the problem?",,42057.9243865741,San Francisco CA,late_flight
122,569737603617943000,negative,Virgin America,KindofLuke,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,,42057.9143981481,,customer_service_issue
123,569714127792254000,positive,Virgin America,ptbrodie,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,,42057.8496180556,San Francisco,Cant Decide
124,569675144353828000,positive,Virgin America,cheryleng,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,"[33.9469039, -118.40716847]",42057.7420486111,,Cant Decide
125,569674358135914000,neutral,Virgin America,HishamSharaby,"=@VirginAmerica do you provide complimentary upgrades to first class, if there are available seats?",,42057.7398726852,New York,lost_luggage
126,569666477265018000,negative,Virgin America,ChrisFordisHere,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,"[51.04345575, -114.06071363]",42057.718125,NYC,late_flight
127,569652497947734000,positive,Virgin America,JKF1897,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,,42057.6795486111,,Cant Decide
128,569649116487290000,neutral,Virgin America,F6x,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,"[40.64662464, -73.77090177]",42057.6702199074,"San Francisco, CA",late_flight
129,569643262459269000,neutral,Virgin America,lawyang588,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,,42057.6540625,,late_flight
130,569642845516275000,negative,Virgin America,melokudo,=@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,,42057.6529166667,,customer_service_issue
131,569634318349246000,negative,Virgin America,ChrysiChrysic,=@VirginAmerica @FiDiFamilies US too!Terrible airline!Just gave US a hotel hotline number and said Sorry,,42057.6293865741,,late_flight
132,569633630978310000,neutral,Virgin America,nikkisixxfan93,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,,42057.6274884259,"Sacramento,California",late_flight
133,569633279546036000,negative,Virgin America,ChrysiChrysic,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,,42057.6265162037,,late_flight
134,569630092273410000,negative,Virgin America,MOCBlogger,@VirginAmerica Another delayed flight? #likingyoulessandless,,42057.6177199074,San Diego,late_flight
135,569627480425766000,negative,Virgin America,tfaz,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,,42057.6105208333,"Oakland, California",customer_service_issue
136,569625739231948000,positive,Virgin America,lisaptv,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,,42057.605717592596,,Cant Decide
137,569625609799774000,neutral,Virgin America,dropapp,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",,42057.605358796296,,longlines
138,569620102389350000,positive,Virgin America,HollywoodHotMom,@VirginAmerica always!!! Xoxo,,42057.590162037,All Over!,Cant Decide
139,569619569372823000,negative,Virgin America,GoShar2012,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,,42057.5886921296,"Providence, RI",late_flight
140,569618527948115000,negative,Virgin America,MOCBlogger,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,,42057.5858101852,San Diego,lost_luggage
141,569616490380439000,positive,Virgin America,SkateMamas,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,,42057.5801851852,"Los Angeles, CA",Cant Decide
142,569615109363929000,neutral,Virgin America,FiDiFamilies,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,,42057.5763773148,New York City ,customer_service_issue
143,569614365755899000,negative,Virgin America,jarrydosborne,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,,42057.574328703704,New York,late_flight
144,569614024578600000,positive,Virgin America,HollywoodHotMom,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,,42057.5733912037,All Over!,Cant Decide
145,569609971383586000,negative,Virgin America,mlorenzen,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",,42057.5621990741,"iPhone: 29.741360,-90.131523",late_flight
146,569608328998887000,negative,Virgin America,Tyler_Starrine,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,,42057.557673611096,Los Angeles,customer_service_issue
147,569599867716132000,positive,Virgin America,jessicajaymes,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,"[33.94652852, -118.40766257]",42057.5343171296,"hollywood, california",Cant Decide
148,569596445680115000,positive,Virgin America,livingfitly,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,,42057.5248726852,"Washington, DC",Cant Decide
149,569596097540132000,negative,Virgin America,khartline,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,,42057.523912037,Las Vegas,lost_luggage
